Project_Name,Duration,Team_Size,Budget,Past_Delays,Tech_Complexity,Risk_Level
Project_1,42,14,130078,1,Low,Low
Project_2,32,10,100623,4,Medium,High
Project_3,18,13,42671,0,Low,Medium
Project_4,46,19,176256,0,Medium,Low
Project_5,11,10,113384,4,High,Medium
Project_6,24,5,193179,2,High,Low
Project_7,42,5,106202,3,Low,High
Project_8,22,3,71663,2,Low,Low
Project_9,26,7,35708,0,Low,Low
Project_10,14,12,111906,0,Medium,Low
Project_11,14,9,69811,4,Medium,Low
Project_12,27,11,153883,5,Low,Low
Project_13,39,9,76250,2,High,Medium
Project_14,43,11,132547,8,Medium,Low
Project_15,27,10,144249,4,Medium,Low
Project_16,6,14,54754,7,Medium,High
Project_17,25,4,162483,0,Low,Low
Project_18,5,3,153983,4,Low,High
Project_19,27,18,159752,2,Low,Medium
Project_20,47,7,104896,0,Low,Low
Project_21,33,5,91295,3,Low,High
Project_22,41,14,120689,4,High,High
Project_23,5,10,31111,6,High,Medium
Project_24,24,5,57504,0,Low,Low
Project_25,36,3,152874,2,Medium,Low
Project_26,15,5,28155,1,Low,High
Project_27,25,7,59384,8,High,Low
Project_28,47,17,132561,9,High,High
Project_29,28,16,67254,5,Medium,Low
Project_30,30,5,41918,9,High,High
Project_31,45,3,105981,2,Low,Low
Project_32,31,7,50306,7,Medium,Medium
Project_33,19,16,167718,7,Low,Low
Project_34,18,9,66843,1,Low,Low
Project_35,50,11,140975,5,Medium,Medium
Project_36,47,17,116601,6,Low,Low
Project_37,6,17,127512,1,High,Medium
Project_38,40,12,167443,9,Low,Low
Project_39,10,15,131472,1,Medium,High
Project_40,24,9,153121,9,Medium,High
Project_41,12,19,182688,0,Medium,Low
Project_42,42,6,123727,7,Low,Low
Project_43,21,7,132893,0,Medium,Low
Project_44,7,9,40932,8,Medium,High
Project_45,28,15,137796,5,Low,Low
Project_46,17,17,49855,6,High,High
Project_47,12,13,194088,9,Low,Medium
Project_48,29,6,27400,6,Medium,High
Project_49,5,15,137858,9,Medium,High
Project_50,23,9,193714,2,Low,Medium
Project_51,31,4,35151,1,High,High
Project_52,50,12,86690,8,Medium,Low
Project_53,10,15,24499,7,Medium,Low
Project_54,47,8,26295,9,Medium,High
Project_55,11,14,140885,6,Low,Low
Project_56,50,14,146071,8,Medium,High
Project_57,38,13,79040,3,High,Low
Project_58,17,9,32183,3,Medium,Low
Project_59,20,3,180371,0,Medium,High
Project_60,39,3,163946,7,High,Low
Project_61,43,15,136336,2,Medium,High
Project_62,7,11,52711,6,Low,Low
Project_63,5,5,25539,1,Low,Low
Project_64,9,9,199426,1,Low,Medium
Project_65,45,8,146063,6,High,Medium
Project_66,7,10,153629,5,Medium,High
Project_67,32,11,58360,2,Low,Medium
Project_68,21,7,153272,8,High,High
Project_69,29,3,198047,9,Medium,Medium
Project_70,47,12,41357,5,High,Low
Project_71,37,14,139121,9,Low,High
Project_72,13,17,97505,9,Low,High
Project_73,39,11,22869,5,Low,Low
Project_74,17,19,70108,0,High,High
Project_75,34,19,132296,3,High,High
Project_76,51,14,114179,9,Low,Medium
Project_77,18,9,110272,5,High,High
Project_78,11,4,58467,5,Low,Low
Project_79,17,5,43328,4,Low,Medium
Project_80,26,19,111412,0,Medium,Medium
Project_81,43,7,155059,7,High,Low
Project_82,24,19,78871,4,Low,Low
Project_83,19,19,173471,4,Low,Medium
Project_84,48,19,148391,6,High,High
Project_85,21,4,197286,3,Medium,Medium
Project_86,50,4,106416,5,Medium,Low
Project_87,27,7,90271,3,Low,Medium
Project_88,29,3,64064,2,High,Low
Project_89,28,3,127450,6,Medium,Medium
Project_90,48,4,191890,7,High,High
Project_91,44,14,196597,3,High,Medium
Project_92,32,8,39830,1,Low,Medium
Project_93,18,6,168501,9,Medium,Low
Project_94,48,13,157965,2,Low,Low
Project_95,4,19,136381,0,Medium,Low
Project_96,28,8,67333,7,Medium,Medium
Project_97,10,7,154508,2,Medium,High
Project_98,12,4,96213,9,Medium,Low
Project_99,27,8,156967,6,Medium,Low
Project_100,4,13,170810,9,High,Medium
