Duration,Team_Size,Budget,Past_Delays,Tech_Complexity,Risk_Level
43,14,165958,2,1,Medium
56,8,254793,6,5,High
33,21,148623,0,5,Medium
19,6,182647,0,1,Low
47,17,142260,4,1,Medium
12,11,196862,8,3,Medium
25,7,248976,5,4,Medium
43,15,171041,9,5,High
23,25,271356,1,3,Low
27,28,200534,8,3,Medium
15,20,226544,5,5,Medium
15,7,276512,4,5,Medium
28,27,270037,4,2,Low
57,18,64160,2,4,High
40,29,298933,5,5,High
44,21,188253,3,1,Medium
28,16,175457,9,2,Medium
7,27,95641,1,4,Medium
26,18,116673,2,1,Low
57,29,261322,8,1,Medium
6,17,297688,8,4,Medium
28,24,276855,5,2,Low
48,6,266361,9,1,Medium
34,9,93248,9,3,High
42,18,232821,8,4,High
6,26,285949,3,4,Medium
25,24,80713,4,5,Medium
37,23,33981,9,2,High
16,24,125335,5,3,Medium
26,23,137441,8,3,Medium
48,10,46984,4,5,High
29,19,155580,7,1,Medium
53,18,162596,0,1,Medium
31,29,148454,4,3,Medium
46,25,79402,9,2,High
32,12,121656,0,1,Low
20,12,95614,9,4,High
19,29,196963,5,5,High
51,4,288789,6,2,Medium
55,11,161049,4,1,Medium
48,19,299754,0,3,Medium
59,13,139381,5,5,High
56,12,45791,9,1,High
7,24,88047,4,3,Medium
41,27,264898,5,1,Medium
55,19,180737,9,5,High
11,6,100246,6,4,High
25,18,226936,6,4,Medium
13,22,264955,1,3,Low
43,17,75890,2,4,High
22,27,62888,5,5,High
8,29,167821,2,3,Medium
29,23,76531,1,1,Medium
18,7,86017,3,2,Low
54,8,87676,4,1,Medium
13,19,41560,9,5,High
30,3,80468,8,3,Medium
57,27,193535,2,1,Medium
6,21,124346,2,3,Medium
24,6,170790,5,4,High
32,19,223709,4,2,Low
51,11,292172,5,5,High
11,26,77599,6,1,High
48,4,178469,2,2,Medium
12,10,270270,4,5,Medium
51,17,75406,7,5,High
39,9,97560,3,4,High
18,29,134143,9,3,Medium
21,8,174575,1,3,Low
40,3,84943,3,2,Medium
54,17,105839,1,4,High
44,25,112674,2,5,High
8,28,55345,3,4,High
6,9,279495,3,4,Medium
10,27,80390,9,2,Medium
58,19,256113,8,3,High
46,4,31906,9,4,High
8,29,37961,5,4,High
58,11,187212,8,4,High
33,11,219773,3,1,Low
22,15,111199,8,4,High
30,8,290928,8,4,Medium
48,8,129764,5,5,High
38,22,152357,4,1,Medium
14,22,124968,2,4,Medium
40,23,190576,4,4,High
18,5,70297,2,2,Low
35,19,116394,4,2,Medium
52,19,46939,4,1,High
19,14,229294,1,5,Low
12,18,92119,8,1,Medium
18,17,196393,6,1,Medium
27,15,174258,5,2,Medium
44,25,248827,4,2,Low
25,3,297201,3,5,Medium
20,19,179805,7,4,High
49,5,180685,1,5,High
22,28,138612,7,4,High
51,17,166260,0,3,Medium
57,6,268178,9,2,Medium
28,6,289418,0,3,Low
30,20,59680,2,3,High
29,19,264433,4,2,Low
49,21,66445,5,3,High
45,13,35796,3,1,Medium
33,22,200203,6,4,High
19,5,169294,6,5,High
49,10,98322,1,2,Medium
5,16,260246,1,1,Low
29,28,140100,1,5,Medium
11,3,129244,1,5,Medium
13,16,160364,8,5,High
28,4,230065,4,3,Low
5,25,203688,7,3,Medium
48,6,82127,4,3,High
12,26,292597,4,3,Low
28,29,117362,0,1,Low
15,21,144176,5,3,Medium
55,8,129122,3,2,Medium
21,27,127170,2,5,Medium
12,3,247912,5,1,Low
39,19,278178,1,3,Low
39,10,265851,7,5,High
37,21,126516,0,1,Low
9,23,37957,8,5,High
46,3,137724,7,1,High
43,7,195278,0,4,Medium
45,29,33543,9,1,High
32,18,205207,8,3,Medium
11,8,277541,1,5,Low
13,10,134647,2,5,Medium
12,15,65031,1,5,Medium
16,18,204001,7,2,Low
38,5,266403,1,2,Low
37,21,95867,9,3,High
52,14,118780,1,4,High
59,18,87196,0,2,Medium
27,29,103705,6,1,Medium
28,13,127247,1,3,Low
41,12,209965,9,4,High
39,27,30727,4,1,High
48,22,73822,4,5,High
44,6,142113,2,2,Medium
26,14,249606,2,1,Low
31,25,90091,2,4,High
39,4,184591,5,3,High
5,26,235603,3,1,Low
39,24,209006,2,3,Medium
41,21,189912,1,5,Medium
51,27,119367,2,4,High
18,7,43265,3,4,Medium
7,10,109622,5,2,Medium
5,9,190259,3,4,Medium
9,16,181611,7,1,Medium
30,26,251711,2,1,Low
59,25,200457,2,1,Medium
18,5,161025,2,5,Medium
43,20,117580,7,4,High
31,18,143396,3,4,High
13,25,125310,0,1,Low
19,21,186080,1,2,Low
19,21,244168,9,2,Low
30,20,119876,1,4,Medium
46,22,54976,2,4,High
17,18,275014,5,3,Medium
55,10,188698,7,4,High
36,3,220861,0,1,Low
43,19,139331,8,5,High
53,14,224717,0,4,Medium
56,23,281666,9,4,High
36,13,299670,1,1,Low
8,7,133863,2,3,Medium
34,29,229121,6,4,High
41,14,86096,8,2,Medium
27,19,168982,2,2,Low
43,8,80248,7,2,Medium
49,3,235728,8,5,High
19,7,109888,9,5,High
47,27,236354,6,4,High
33,16,270346,3,4,Medium
40,7,124533,3,4,High
17,24,71954,3,5,High
36,26,169876,5,4,High
11,29,253777,3,1,Low
55,3,292739,4,3,Medium
26,20,70643,8,2,High
32,18,284793,6,2,Medium
6,11,298116,7,1,Low
46,21,227466,4,4,High
49,24,184841,4,5,High
57,7,55020,6,4,High
10,29,74912,7,4,High
32,4,42879,8,2,Medium
32,17,63798,1,2,Medium
48,9,137791,2,5,High
48,6,207145,1,2,Low
24,3,163922,9,4,High
34,15,189472,6,1,Medium
15,22,136410,1,5,Medium
59,24,155155,1,1,Medium
32,9,184607,1,4,Medium
29,17,236608,3,5,Medium
43,25,282712,0,1,Low
37,16,34055,1,5,High
5,25,259016,2,4,Medium
31,21,268657,6,5,High
56,24,165996,9,4,High
17,26,78037,0,5,High
45,22,122115,5,5,High
7,26,100400,2,2,Low
43,20,129525,2,4,High
10,12,253457,3,3,Low
12,11,254174,3,5,Medium
31,27,171774,6,1,Medium
13,10,45385,2,2,Low
41,28,66021,7,2,High
37,12,147369,7,5,High
55,19,250702,6,3,High
46,4,79111,1,2,Medium
48,8,119402,4,4,High
28,28,149774,5,5,High
19,7,283724,9,5,Medium
58,11,245657,3,3,Medium
36,7,257600,9,4,High
36,20,210109,4,4,Medium
28,28,155695,8,3,Medium
45,22,164585,6,1,Medium
56,11,276255,1,4,Medium
53,19,174407,0,1,Medium
53,29,205212,1,1,Low
56,19,134126,2,5,High
16,14,241445,1,5,Low
43,9,107658,2,2,Medium
6,29,195912,9,5,High
7,5,136833,8,4,High
53,12,148637,3,4,High
41,4,123220,8,1,Medium
53,27,56393,2,4,High
21,5,87480,0,5,Medium
53,18,170179,4,5,High
6,4,298137,9,5,Medium
6,26,123650,9,3,Medium
32,12,264397,1,4,Medium
58,8,82066,3,2,Medium
27,24,46138,1,4,High
41,28,148558,1,4,Medium
36,13,288480,2,3,Medium
37,25,108422,4,4,High
5,9,216770,3,1,Low
23,29,112315,1,5,Medium
6,17,59086,9,5,High
57,8,155604,1,3,Medium
48,22,149324,5,5,High
30,29,246682,6,1,Low
36,11,33435,9,3,High
10,24,190014,5,2,Medium
36,22,220707,6,5,High
59,14,218629,0,4,Medium
8,21,73890,5,1,High
59,22,65739,2,1,High
15,5,109553,0,5,Medium
21,17,38314,7,2,High
42,4,123831,3,4,High
28,23,147174,9,2,Medium
9,4,176429,7,2,Medium
56,24,259937,9,5,High
38,5,50365,3,4,High
10,8,293881,3,5,Medium
26,17,235704,9,5,Medium
15,29,115474,3,1,Low
52,12,285678,5,5,High
20,11,188571,8,3,Medium
37,3,271099,4,4,Medium
13,18,271474,9,1,Low
10,8,158692,7,4,High
20,11,268502,7,1,Low
33,29,207229,3,3,Medium
7,6,202106,9,5,Medium
24,29,30294,8,1,High
40,4,128185,8,1,Medium
23,6,88382,4,1,Low
30,3,34655,5,3,Medium
7,21,113029,4,4,Medium
23,28,33771,2,3,High
24,27,150811,7,1,Medium
36,12,137779,8,1,Medium
11,23,154891,3,5,Medium
56,17,284797,8,3,High
