Project_Name,Duration,Team_Size,Budget,Past_Delays,Tech_Complexity,Bug_Reports
Project_1,28,10,120000,1,2,4
Project_2,42,15,180000,3,3,7
Project_3,17,7,65000,0,1,2
Project_4,35,12,150000,2,3,5
Project_5,22,8,90000,1,2,3
Project_6,48,20,300000,4,3,10
Project_7,30,9,110000,2,2,4
Project_8,26,11,98000,0,1,2
Project_9,40,14,210000,3,3,8
Project_10,15,6,45000,0,1,1
Project_11,33,13,160000,2,2,6
Project_12,27,9,105000,1,2,3
Project_13,43,18,250000,4,3,9
Project_14,19,7,70000,0,1,2
Project_15,25,10,115000,1,2,4
Project_16,45,19,280000,5,3,11
Project_17,21,8,88000,1,1,2
Project_18,32,11,140000,2,2,5
Project_19,38,16,220000,3,3,7
Project_20,14,5,42000,0,1,1
Project_21,29,9,95000,1,2,3
Project_22,36,13,170000,2,3,6
Project_23,23,8,76000,1,2,3
Project_24,31,12,130000,2,2,5
Project_25,47,17,260000,4,3,9
Project_26,18,6,58000,0,1,2
Project_27,28,10,122000,1,2,4
Project_28,39,14,205000,3,3,7
Project_29,24,9,89000,1,2,3
Project_30,34,13,155000,2,3,5
Project_31,20,7,72000,0,1,2
Project_32,41,15,195000,3,3,6
Project_33,22,8,84000,1,2,3
Project_34,37,14,200000,3,3,7
Project_35,16,6,50000,0,1,1
Project_36,30,11,128000,1,2,4
Project_37,44,19,275000,4,3,9
Project_38,27,9,103000,1,2,3
Project_39,35,12,158000,2,3,6
Project_40,13,5,40000,0,1,1
Project_41,26,8,92000,1,2,3
Project_42,33,12,148000,2,2,5
Project_43,39,15,210000,3,3,8
Project_44,17,7,68000,0,1,2
Project_45,25,9,100000,1,2,3
Project_46,46,18,290000,4,3,10
Project_47,22,8,82000,1,2,3
Project_48,30,10,135000,2,2,5
Project_49,40,16,230000,3,3,8
Project_50,19,6,61000,0,1,2
